id,start,end,computed,needs_recompute,num_retplayers,num_newplayers,num_games,dom_p,dom_t,dom_z
288,2021-02-25,2021-03-10,f,t,0,0,0,,,
40,2011-08-25,2011-09-07,t,f,535,111,2596,0.892864717211469,1.13396325952893,0.973172023259604
223,2018-08-30,2018-09-12,t,f,598,86,2568,0.848098471711536,1.08570831166227,1.0661932166262
224,2018-09-13,2018-09-26,t,f,537,81,3052,0.855048002120008,1.05546915829797,1.08948283958202
226,2018-10-11,2018-10-24,t,f,555,94,3626,0.846354397497712,1.06206962960602,1.09157597289627
227,2018-10-25,2018-11-07,t,f,458,57,2066,0.843326845890674,1.05558126173944,1.10109189236988
228,2018-11-08,2018-11-21,t,f,557,72,3001,0.830588651852089,1.04482093886867,1.12459040927925
229,2018-11-22,2018-12-05,t,f,520,60,3367,0.851751524234487,1.02748794716759,1.12076052859792
230,2018-12-06,2018-12-19,t,f,502,56,3055,0.889168200569932,1.03387322731363,1.07695857211644
231,2018-12-20,2019-01-02,t,f,329,30,1464,0.874268709461296,1.03783040695345,1.08790088358525
240,2019-04-25,2019-05-08,t,f,466,48,2434,0.908433516812363,1.00647452001849,1.08509196316915
13,2010-08-12,2010-08-25,t,f,139,78,793,1.03227796077577,1.00253928544427,0.96518275377996
244,2019-06-20,2019-07-03,f,f,0,0,0,,,
245,2019-07-04,2019-07-17,f,f,0,0,0,,,
246,2019-07-18,2019-07-31,f,f,0,0,0,,,
247,2019-08-01,2019-08-14,f,f,0,0,0,,,
248,2019-08-15,2019-08-28,f,f,0,0,0,,,
249,2019-08-29,2019-09-11,f,f,0,0,0,,,
250,2019-09-12,2019-09-25,f,f,0,0,0,,,
251,2019-09-26,2019-10-09,f,f,0,0,0,,,
252,2019-10-10,2019-10-23,f,f,0,0,0,,,
253,2019-10-24,2019-11-06,f,f,0,0,0,,,
254,2019-11-07,2019-11-20,f,f,0,0,0,,,
255,2019-11-21,2019-12-04,f,f,0,0,0,,,
256,2019-12-05,2019-12-18,f,f,0,0,0,,,
257,2019-12-19,2020-01-01,f,f,0,0,0,,,
258,2020-01-02,2020-01-15,f,f,0,0,0,,,
259,2020-01-16,2020-01-29,f,f,0,0,0,,,
260,2020-01-30,2020-02-12,f,f,0,0,0,,,
261,2020-02-13,2020-02-26,f,f,0,0,0,,,
262,2020-02-27,2020-03-11,f,f,0,0,0,,,
